Crop,Season,State,Area,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Sugarcane,Whole Year ,Karnataka,480222.0,Alluvial Soil,high,Average,Medium,Medium,2617.509405,1198.3
Wheat,Rabi       ,Karnataka,197615.0,Alluvial Soil,high,Low,Medium,Medium,2473.239011,798.2
Banana,Whole Year ,Kerala,61936.0,Alluvial Soil,high,Average,High,Medium,2983.087894,929.7
Groundnut,Whole Year ,Kerala,480.0,Black Soil,low,Low,High,Medium,2218.13045,1002.0
Onion,Whole Year ,Kerala,61.0,Black Soil,low,High,High,High,1957.511401,673.5
Potato,Whole Year ,Kerala,852.0,Laterile Soil,high,Average,Medium,Medium,2685.420548,756.0
Ragi,Whole Year ,Kerala,79.0,Red/Yellow Soil,high,Low,Low,Medium,2603.958105,1157.2
Rice,Autumn     ,Kerala,63981.0,Black Soil,high,High,Low,Low,2197.470094,693.3
Rice,Summer     ,Kerala,45188.0,Red/Yellow Soil,high,High,Low,Low,2041.075313,878.1
Rice,Winter     ,Kerala,88990.0,Alluvial Soil,low,High,Low,High,2961.219019,863.8
Sugarcane,Whole Year ,Kerala,1517.06,Alluvial Soil,high,Low,High,Medium,2924.233117,1003.1
Wheat,Whole Year ,Kerala,1.0,Alluvial Soil,low,High,Low,Low,1753.762972,585.1
Banana,Kharif     ,Meghalaya,7072.0,Black Soil,low,Average,Low,Low,2362.533091,805.9
Cotton(lint),Kharif     ,Meghalaya,7305.0,Black Soil,low,High,Low,Low,2999.257616,668.9
Onion,Rabi       ,Meghalaya,499.0,Black Soil,high,Average,Medium,Low,2357.181233,989.5
Potato,Summer     ,Meghalaya,12435.0,Black Soil,high,Average,Low,High,2352.81633,653.2
Potato,Winter     ,Meghalaya,6038.0,Black Soil,low,Low,High,Medium,2415.172202,994.3
Rice,Autumn     ,Meghalaya,33102.0,Black Soil,high,Low,High,Medium,2163.730908,1244.2
Rice,Rabi       ,Meghalaya,13620.0,Red/Yellow Soil,low,High,Low,High,1988.567277,558.0
Rice,Winter     ,Meghalaya,63601.0,Alluvial Soil,high,Low,High,Low,2815.764193,984.7
Sugarcane,Whole Year ,Meghalaya,111.0,Alluvial Soil,low,Average,Medium,Low,1947.118928,739.6
Wheat,Rabi       ,Meghalaya,442.0,Alluvial Soil,high,Average,Medium,Low,2574.181436,969.1
Banana,Whole Year ,Tamil Nadu,91410.0,Black Soil,low,High,Medium,Low,2765.973848,1191.7
Cotton(lint),Kharif     ,Tamil Nadu,138386.0,Black Soil,high,Low,Low,Low,2064.63211,781.3
Cotton(lint),Rabi       ,Tamil Nadu,48307.0,Black Soil,high,Average,Medium,Medium,2222.719479,957.2
Groundnut,Kharif     ,Tamil Nadu,210285.0,Black Soil,low,Average,Medium,Medium,2863.953757,715.2
Groundnut,Rabi       ,Tamil Nadu,126229.0,Black Soil,high,Average,Medium,High,2659.867516,466.8
Onion,Kharif     ,Tamil Nadu,11835.0,Red/Yellow Soil,high,Average,Medium,Medium,2314.814288,1035.6
Onion,Rabi       ,Tamil Nadu,16270.0,Red/Yellow Soil,low,Low,High,Low,2860.674701,657.3
Potato,Kharif     ,Tamil Nadu,3018.0,Alluvial Soil,low,Low,High,Medium,2861.960717,958.0
Potato,Rabi       ,Tamil Nadu,1719.0,Alluvial Soil,low,Low,Low,Medium,2580.715808,748.7
Ragi,Kharif     ,Tamil Nadu,74309.0,Alluvial Soil,high,Average,High,High,2229.951932,820.6
Ragi,Rabi       ,Tamil Nadu,30117.0,Black Soil,low,High,High,High,2375.965389,771.9
Rice,Kharif     ,Tamil Nadu,1794991.0,Black Soil,low,Average,Medium,High,2585.916023,806.8
Sugarcane,Whole Year ,Tamil Nadu,263066.0,Black Soil,high,High,Low,High,2443.421551,826.8
Banana,Whole Year ,Andhra Pradesh,59428.0,Black Soil,high,High,Low,High,2781.687153,941.2
Cotton(lint),Kharif     ,Andhra Pradesh,662671.0,Red/Yellow Soil,high,High,High,High,2041.067776,445.2
Cotton(lint),Rabi       ,Andhra Pradesh,3394.0,Red/Yellow Soil,low,Low,High,Low,2051.720941,867.2
Groundnut,Kharif     ,Andhra Pradesh,682130.0,Alluvial Soil,high,Average,Medium,Low,2554.261333,786.4
Groundnut,Rabi       ,Andhra Pradesh,92588.0,Alluvial Soil,high,High,High,Medium,2352.536676,771.4
Onion,Kharif     ,Andhra Pradesh,33867.0,Black Soil,low,High,Medium,Medium,2311.885416,661.7
Onion,Rabi       ,Andhra Pradesh,7375.0,Black Soil,low,Average,High,Medium,1969.582984,625.2
Potato,Kharif     ,Andhra Pradesh,574.0,Black Soil,low,Low,Low,Medium,2505.863753,1047.5
Potato,Rabi       ,Andhra Pradesh,1472.0,Black Soil,high,Low,Medium,Low,2484.173468,642.3
Ragi,Kharif     ,Andhra Pradesh,26603.0,Black Soil,low,Low,Medium,Medium,2696.043695,725.7
Ragi,Rabi       ,Andhra Pradesh,4569.0,Black Soil,low,Low,High,Medium,2520.67184,529.3
Rice,Kharif     ,Andhra Pradesh,1398884.0,Black Soil,low,High,Low,High,2460.218777,572.5
Rice,Rabi       ,Andhra Pradesh,761911.0,Red/Yellow Soil,high,Average,High,Low,2853.100191,799.8
Sugarcane,Whole Year ,Andhra Pradesh,121685.0,Red/Yellow Soil,low,Low,High,Low,2106.259809,549.2
Wheat,Rabi       ,Andhra Pradesh,164.0,Red/Yellow Soil,low,Average,Low,High,2660.916766,820.7
Banana,Kharif     ,Puducherry,246.0,Alluvial Soil,low,Low,High,Medium,1998.655851,777.4
Cotton(lint),Kharif     ,Puducherry,118.0,Alluvial Soil,low,Low,High,High,2248.491436,389.6
Groundnut,Kharif     ,Puducherry,5.0,Black Soil,low,Average,Medium,Low,2136.20286,932.8
Groundnut,Rabi       ,Puducherry,239.0,Black Soil,low,Average,Low,Low,2734.582761,486.9
Groundnut,Summer     ,Puducherry,55.0,Black Soil,high,Low,High,High,2480.37693,582.7
Onion,Summer     ,Puducherry,1.0,Black Soil,low,Average,High,Low,2495.949027,1562.5
Ragi,Kharif     ,Puducherry,34.0,Alluvial Soil,high,High,Low,Medium,2167.980104,1324.2
Rice,Kharif     ,Puducherry,3817.0,Alluvial Soil,high,Low,Low,High,2410.091951,1306.5
Rice,Rabi       ,Puducherry,8505.0,Alluvial Soil,low,High,Medium,High,2270.960409,1492.0
Rice,Summer     ,Puducherry,3941.0,Alluvial Soil,low,Average,Low,Medium,2615.036504,1302.1
Sugarcane,Kharif     ,Puducherry,1821.0,Alluvial Soil,low,Low,Medium,Medium,2202.672659,1537.9
Banana,Whole Year ,Assam,51103.0,Alluvial Soil,low,Average,Medium,High,2898.93831,1194.4
Cotton(lint),Kharif     ,Assam,921.0,Black Soil,high,Low,Low,Medium,1997.325865,1256.2
Onion,Whole Year ,Assam,8503.0,Black Soil,low,Low,Low,Medium,2258.04405,1717.7
Potato,Whole Year ,Assam,103812.0,Black Soil,low,High,Low,High,3003.160153,1963.9
Rice,Autumn     ,Assam,191322.0,Black Soil,low,Average,High,Low,2369.458376,1542.9
Rice,Summer     ,Assam,404982.0,Red/Yellow Soil,low,Low,Medium,High,2105.536401,1394.5
Rice,Winter     ,Assam,1888683.0,Red/Yellow Soil,high,High,High,Low,2565.721469,1137.6
Sugarcane,Whole Year ,Assam,29460.0,Red/Yellow Soil,high,Average,High,Low,2357.382327,1940.9
Wheat,Rabi       ,Assam,20975.0,Alluvial Soil,low,Low,Medium,High,2249.238923,1601.3
Banana,Kharif     ,Meghalaya,7112.0,Alluvial Soil,high,High,Low,Medium,2171.238757,1678.8
Cotton(lint),Kharif     ,Meghalaya,7295.0,Alluvial Soil,low,High,High,Medium,3330.512082,2102.9
Onion,Rabi       ,Meghalaya,521.0,Alluvial Soil,low,Average,Low,Low,2424.53443,1215.2
Potato,Summer     ,Meghalaya,12498.0,Alluvial Soil,high,Average,High,High,1922.329792,1583.1
Potato,Winter     ,Meghalaya,6063.0,Alluvial Soil,low,Low,High,Medium,2948.112928,1328.4
Rice,Autumn     ,Meghalaya,33136.0,Black Soil,high,High,High,Low,2683.321272,1848.7
Rice,Rabi       ,Meghalaya,13649.0,Black Soil,low,Average,Medium,Low,2270.060071,1860.0
Rice,Winter     ,Meghalaya,63670.0,Black Soil,low,Low,Medium,Low,2220.064273,1582.9
Sugarcane,Whole Year ,Meghalaya,117.0,Black Soil,low,Average,Low,High,2702.041839,1927.1
Wheat,Rabi       ,Meghalaya,448.0,Black Soil,high,High,High,Low,2425.924502,1535.0
Banana,Whole Year ,Goa,2414.0,Red/Yellow Soil,low,High,Medium,High,1922.206654,1381.2
Groundnut,Kharif     ,Goa,361.0,Alluvial Soil,low,Low,Medium,Low,3036.171989,1649.9
Groundnut,Rabi       ,Goa,1537.0,Alluvial Soil,high,Low,Medium,Low,2369.802861,1241.9
Rice,Kharif     ,Goa,27730.0,Alluvial Soil,high,Average,Low,Medium,2948.671521,1212.2
Rice,Rabi       ,Goa,13614.0,Black Soil,high,Average,Medium,High,2883.530487,1271.2
Sugarcane,Whole Year ,Goa,1139.0,Black Soil,low,Low,High,High,2199.697137,1334.1
Cotton(lint),Kharif     ,Karnataka,599083.0,Black Soil,low,Low,High,Low,2809.956959,1369.6
Cotton(lint),Rabi       ,Karnataka,41696.0,Black Soil,high,Low,High,Medium,2304.567235,1595.8
Cotton(lint),Summer     ,Karnataka,1105.0,Black Soil,low,Average,Medium,Low,1939.989824,1339.0
Groundnut,Kharif     ,Karnataka,406076.0,Red/Yellow Soil,high,Low,Low,High,2372.62055,1137.2
Groundnut,Rabi       ,Karnataka,3646.0,Alluvial Soil,high,Average,Low,Low,2619.291251,1912.3
Groundnut,Summer     ,Karnataka,160363.0,Alluvial Soil,low,Low,High,Low,2361.179006,1533.6
Onion,Kharif     ,Karnataka,173510.0,Red/Yellow Soil,high,High,Low,High,2407.885498,1529.3
Onion,Rabi       ,Karnataka,15694.0,Red/Yellow Soil,low,High,Medium,High,2843.069813,1142.6
Onion,Summer     ,Karnataka,6246.0,Red/Yellow Soil,high,Low,Low,High,2531.948194,1223.7
Potato,Kharif     ,Karnataka,31633.0,Laterile Soil,high,High,High,Low,2247.010507,1061.6
Potato,Rabi       ,Karnataka,6029.0,Red/Yellow Soil,high,High,Low,Low,2710.609097,1711.4
Potato,Summer     ,Karnataka,464.0,Red/Yellow Soil,low,High,Medium,High,2559.30267,1366.7
Ragi,Kharif     ,Karnataka,662355.0,Alluvial Soil,high,Low,Low,Low,1743.51856,1198.9
Ragi,Rabi       ,Karnataka,36275.0,Alluvial Soil,low,High,Medium,Low,2628.505874,1648.0
Ragi,Summer     ,Karnataka,7053.0,Laterile Soil,high,Low,High,Low,2617.548612,1526.7
Rice,Kharif     ,Karnataka,977005.0,Black Soil,low,Average,High,Medium,2506.036339,1359.8
Rice,Rabi       ,Karnataka,29329.0,Alluvial Soil,high,Low,High,High,2767.510174,1535.4
Rice,Summer     ,Karnataka,103711.0,Black Soil,low,Average,Medium,Low,2298.281925,1412.1
Sugarcane,Whole Year ,Karnataka,449586.0,Black Soil,low,High,High,High,2600.949937,1584.1
Wheat,Rabi       ,Karnataka,173856.0,Alluvial Soil,low,High,High,Low,2029.912189,1174.3
Banana,Whole Year ,Kerala,59834.61,Alluvial Soil,low,Average,Medium,High,2622.127115,1477.8
Cotton(lint),Kharif     ,Kerala,109.0,Alluvial Soil,high,High,Low,Low,3085.917909,1565.8
Groundnut,Whole Year ,Kerala,449.0,Alluvial Soil,low,Low,Low,Low,2201.543094,1862.9
Onion,Whole Year ,Kerala,27.0,Alluvial Soil,low,Low,Low,Low,2272.05936,1666.9
Potato,Whole Year ,Kerala,491.0,Alluvial Soil,high,High,Low,High,2286.995367,1943.0
Ragi,Whole Year ,Kerala,64.0,Alluvial Soil,high,Average,Low,Low,2538.999468,1780.7
Rice,Autumn     ,Kerala,60418.0,Alluvial Soil,high,Low,Low,Low,2181.089118,1499.0
Rice,Summer     ,Kerala,47334.0,Alluvial Soil,high,Low,Low,Low,2626.374214,1743.0
Rice,Winter     ,Kerala,89118.0,Alluvial Soil,low,Low,Medium,Medium,2754.051984,1540.1
Sugarcane,Whole Year ,Kerala,1361.588,Alluvial Soil,high,Low,High,Medium,2660.304164,1948.3
Wheat,Whole Year ,Kerala,2.0,Alluvial Soil,low,High,Medium,Medium,1969.475372,1647.4
Banana,Whole Year ,Tamil Nadu,94214.0,Alluvial Soil,high,Low,Medium,Medium,2798.5503,1802.0
Cotton(lint),Kharif     ,Tamil Nadu,102251.0,Black Soil,high,Average,Medium,High,2781.210224,1769.6
Cotton(lint),Rabi       ,Tamil Nadu,45836.0,Black Soil,high,Average,Medium,Medium,2749.048412,1305.7
Groundnut,Kharif     ,Tamil Nadu,222820.0,Black Soil,low,Average,High,Low,2611.852675,1465.8
Groundnut,Rabi       ,Tamil Nadu,123791.0,Black Soil,high,Average,Low,Medium,2566.056794,1556.2
Onion,Kharif     ,Tamil Nadu,16013.0,Black Soil,low,Low,Medium,Low,2809.716819,1478.6
Onion,Rabi       ,Tamil Nadu,19796.0,Black Soil,low,Average,Medium,Medium,3077.054046,1635.7
Potato,Kharif     ,Tamil Nadu,3235.0,Black Soil,low,High,Medium,High,2214.087861,1293.5
Potato,Rabi       ,Tamil Nadu,1071.0,Black Soil,high,Average,High,Low,2823.437619,1803.8
Ragi,Kharif     ,Tamil Nadu,68487.0,Black Soil,low,High,Low,Medium,2474.134871,1077.8
Ragi,Rabi       ,Tamil Nadu,21499.0,Black Soil,low,High,High,High,2461.098084,1239.7
Rice,Kharif     ,Tamil Nadu,2000212.0,Black Soil,high,Average,Medium,Low,2039.040793,1161.8
Sugarcane,Whole Year ,Tamil Nadu,252272.0,Black Soil,high,Average,High,High,2414.563177,1580.3
Banana,Whole Year ,Andhra Pradesh,55743.0,Black Soil,low,Low,High,Medium,2200.820513,986.3
Cotton(lint),Kharif     ,Andhra Pradesh,463437.0,Black Soil,high,High,Medium,Low,2360.843671,1416.3
Cotton(lint),Rabi       ,Andhra Pradesh,8092.0,Black Soil,low,Low,Medium,High,2170.544085,2031.4
Groundnut,Kharif     ,Andhra Pradesh,933233.0,Black Soil,high,Average,Low,Medium,2365.327484,1072.3
Groundnut,Rabi       ,Andhra Pradesh,79576.0,Red/Yellow Soil,high,Average,Medium,High,2378.166893,1333.5
Onion,Kharif     ,Andhra Pradesh,32006.0,Red/Yellow Soil,low,High,Low,High,2529.026476,1356.1
Onion,Rabi       ,Andhra Pradesh,3511.0,Red/Yellow Soil,low,Low,High,High,2015.575041,1372.1
Potato,Kharif     ,Andhra Pradesh,527.0,Red/Yellow Soil,high,Low,Low,High,2066.344556,1525.3
Potato,Rabi       ,Andhra Pradesh,1164.0,Red/Yellow Soil,high,Average,Medium,Low,2608.574281,1339.1
Ragi,Kharif     ,Andhra Pradesh,26899.0,Red/Yellow Soil,low,Average,Medium,Medium,2260.768565,1653.7
Ragi,Rabi       ,Andhra Pradesh,5159.0,Red/Yellow Soil,low,Average,Medium,Low,2822.358937,1514.5
Rice,Kharif     ,Andhra Pradesh,1519656.0,Red/Yellow Soil,high,Average,High,Medium,2567.580917,987.3
Rice,Rabi       ,Andhra Pradesh,585363.0,Red/Yellow Soil,high,High,Medium,Low,2682.028645,1602.4
Sugarcane,Whole Year ,Andhra Pradesh,102732.0,Alluvial Soil,low,Average,Medium,Medium,2923.207696,1263.8
Wheat,Rabi       ,Andhra Pradesh,33.0,Alluvial Soil,low,Low,Medium,Medium,2407.086756,1564.9
Banana,Kharif     ,Puducherry,252.0,Alluvial Soil,low,Average,Low,Low,2327.653988,1020.7
Cotton(lint),Kharif     ,Puducherry,296.0,Alluvial Soil,low,Low,High,Low,2761.510776,1108.1
Groundnut,Kharif     ,Puducherry,1.0,Alluvial Soil,high,High,Low,Low,2652.854069,1594.1
Groundnut,Rabi       ,Puducherry,212.0,Alluvial Soil,high,Average,Medium,High,2443.800907,1441.7
Groundnut,Summer     ,Puducherry,40.0,Alluvial Soil,high,Average,Medium,High,2917.43739,1616.1
Onion,Summer     ,Puducherry,1.0,Alluvial Soil,high,Low,Medium,Low,2436.326707,1401.4
Ragi,Kharif     ,Puducherry,20.0,Alluvial Soil,high,Average,High,Low,2509.832091,803.4
Ragi,Rabi       ,Puducherry,6.0,Black Soil,low,Average,Medium,Low,2506.366795,1198.6
Ragi,Summer     ,Puducherry,21.0,Black Soil,low,Average,Medium,Medium,2219.621832,1185.5
Rice,Kharif     ,Puducherry,3693.0,Alluvial Soil,low,High,Medium,Low,2523.275617,1712.9
Rice,Rabi       ,Puducherry,8412.0,Alluvial Soil,low,Average,Low,High,2919.028053,1544.4
Rice,Summer     ,Puducherry,4100.0,Alluvial Soil,low,Average,High,High,2633.490495,1574.7
Sugarcane,Kharif     ,Puducherry,1677.0,Black Soil,low,Low,Low,Low,2509.319028,1734.3
Banana,Whole Year ,Assam,49266.0,Black Soil,low,High,High,Low,2451.469816,1219.6
Cotton(lint),Kharif     ,Assam,882.0,Black Soil,high,Low,Medium,High,2599.260109,1348.2
Onion,Whole Year ,Assam,8266.0,Red/Yellow Soil,high,High,Low,Low,2724.929989,1178.9
Potato,Whole Year ,Assam,106437.0,Red/Yellow Soil,low,High,High,High,2682.771649,1924.3
Rice,Autumn     ,Assam,168044.0,Red/Yellow Soil,high,Low,High,Low,2400.440541,1363.7
Rice,Summer     ,Assam,408132.0,Alluvial Soil,high,High,High,Medium,2597.434478,847.8
Rice,Winter     ,Assam,1890960.0,Black Soil,high,Average,Low,Low,2643.981922,1424.0
Sugarcane,Whole Year ,Assam,31383.0,Black Soil,high,Low,Low,Low,2197.841504,1564.7
Wheat,Rabi       ,Assam,17452.0,Black Soil,high,Average,Medium,Medium,2550.469162,1223.9
Banana,Kharif     ,Meghalaya,7240.0,Black Soil,low,Low,Low,Low,1851.608834,1735.4
Cotton(lint),Kharif     ,Meghalaya,7255.0,Black Soil,low,Low,High,Medium,2644.760113,1287.4
Onion,Rabi       ,Meghalaya,551.0,Black Soil,low,Average,Low,High,2698.102916,1247.6
Potato,Summer     ,Meghalaya,12554.0,Red/Yellow Soil,high,Average,Low,High,2724.263838,390.1
Potato,Winter     ,Meghalaya,6341.0,Red/Yellow Soil,high,High,Low,Low,2381.485944,419.8
Rice,Autumn     ,Meghalaya,33646.0,Red/Yellow Soil,low,Average,Medium,High,2592.714051,428.9
Rice,Rabi       ,Meghalaya,13670.0,Alluvial Soil,low,Low,Low,Medium,2927.186154,527.8
Rice,Winter     ,Meghalaya,63862.0,Alluvial Soil,low,Average,High,High,2924.130894,322.9
Sugarcane,Whole Year ,Meghalaya,121.0,Alluvial Soil,high,High,High,High,2491.24819,593.6
Wheat,Rabi       ,Meghalaya,456.0,Alluvial Soil,high,Low,Low,High,2541.795889,443.9
Banana,Whole Year ,Goa,2435.0,Black Soil,low,High,Medium,Low,2833.273343,689.0
Groundnut,Kharif     ,Goa,336.0,Black Soil,high,Average,High,High,2049.759395,769.3
Groundnut,Rabi       ,Goa,1352.0,Black Soil,high,Average,Medium,High,2403.077277,605.2
Rice,Kharif     ,Goa,27630.0,Black Soil,low,Average,High,Low,2900.671137,509.7
Rice,Rabi       ,Goa,13193.0,Red/Yellow Soil,low,Low,High,High,2792.560163,529.3
Sugarcane,Whole Year ,Goa,897.0,Alluvial Soil,low,Average,High,Medium,2610.779133,508.4
Cotton(lint),Kharif     ,Karnataka,484953.0,Alluvial Soil,high,Low,Low,Low,2048.250278,664.7
Cotton(lint),Rabi       ,Karnataka,24614.0,Alluvial Soil,low,High,Medium,Medium,2485.02693,422.4
Groundnut,Kharif     ,Karnataka,496668.0,Black Soil,low,High,Medium,High,2323.025381,629.1
Groundnut,Rabi       ,Karnataka,3309.0,Black Soil,high,Low,Medium,Medium,2599.311671,986.7
Groundnut,Summer     ,Karnataka,165732.0,Black Soil,high,Average,High,Medium,2257.195995,234.7
Onion,Kharif     ,Karnataka,183065.0,Black Soil,high,Average,High,Low,2192.282982,553.7
Onion,Rabi       ,Karnataka,14675.0,Black Soil,low,Average,Low,Medium,1880.540417,368.8
Onion,Summer     ,Karnataka,3231.0,Black Soil,high,Low,Medium,Medium,2866.541405,446.5
Potato,Kharif     ,Karnataka,19963.0,Red/Yellow Soil,high,Low,Medium,Medium,2380.068847,552.9
Potato,Rabi       ,Karnataka,5929.0,Alluvial Soil,low,High,High,High,2547.143735,581.5
Potato,Summer     ,Karnataka,244.0,Alluvial Soil,low,Average,Low,Medium,2499.328565,654.8
Ragi,Kharif     ,Karnataka,575562.0,Alluvial Soil,low,High,Medium,Medium,2179.76982,557.2
Ragi,Rabi       ,Karnataka,16968.0,Black Soil,low,Average,Medium,Medium,2122.280527,615.9
Ragi,Summer     ,Karnataka,6133.0,Black Soil,low,Low,Low,Medium,2198.405462,502.5
Rice,Kharif     ,Karnataka,942025.0,Black Soil,low,Average,Low,High,2283.049468,388.2
Rice,Rabi       ,Karnataka,18686.0,Black Soil,low,High,Low,High,2609.981874,306.6
Rice,Summer     ,Karnataka,73832.0,Black Soil,high,Low,High,High,2261.284701,500.5
Sugarcane,Whole Year ,Karnataka,397098.0,Red/Yellow Soil,high,Low,Low,Medium,3023.947189,519.2
Wheat,Rabi       ,Karnataka,168242.0,Red/Yellow Soil,low,Average,Low,Low,2808.145311,440.1
Banana,Whole Year ,Kerala,57158.0,Alluvial Soil,high,Low,Low,Low,2742.507865,856.9
Cotton(lint),Whole Year ,Kerala,80.0,Alluvial Soil,low,Low,High,High,2464.102329,501.4
Groundnut,Whole Year ,Kerala,358.0,Alluvial Soil,high,Low,High,Low,2954.284221,568.3
Onion,Whole Year ,Kerala,31.0,Black Soil,high,Low,Medium,High,2434.598311,511.1
Potato,Whole Year ,Kerala,556.0,Black Soil,high,High,Low,Medium,2490.621576,481.7
Ragi,Whole Year ,Kerala,33.0,Black Soil,low,Average,Medium,Low,2550.992362,278.8
Rice,Autumn     ,Kerala,56601.0,Black Soil,high,Average,Medium,Medium,2710.546912,310.2
Rice,Summer     ,Kerala,42544.0,Red/Yellow Soil,high,High,Medium,Low,2691.072424,395.7
Rice,Winter     ,Kerala,72253.0,Red/Yellow Soil,low,High,High,Medium,2357.462416,363.9
Sugarcane,Whole Year ,Kerala,1062.502,Alluvial Soil,low,High,Low,Medium,2340.101884,804.5
Wheat,Whole Year ,Kerala,1.0,Alluvial Soil,low,Low,Low,Medium,2691.970887,407.9
Banana,Whole Year ,Tamil Nadu,90993.0,Black Soil,high,Average,Medium,Low,2714.570975,484.2
Cotton(lint),Kharif     ,Tamil Nadu,93679.0,Black Soil,high,High,High,Low,2381.994663,654.6
Cotton(lint),Rabi       ,Tamil Nadu,54532.0,Black Soil,low,Average,Medium,Medium,2023.843579,437.8
Groundnut,Kharif     ,Tamil Nadu,194719.0,Black Soil,low,Average,High,Low,2437.805171,464.5
Groundnut,Rabi       ,Tamil Nadu,87769.0,Black Soil,high,Low,Low,Medium,2687.05774,592.1
Onion,Kharif     ,Tamil Nadu,13602.0,Black Soil,high,Low,High,High,3041.625054,485.3
Onion,Rabi       ,Tamil Nadu,17597.0,Black Soil,low,Average,Medium,High,2140.612611,551.1
Potato,Kharif     ,Tamil Nadu,3194.0,Red/Yellow Soil,high,High,High,Low,2372.028624,338.2
Potato,Rabi       ,Tamil Nadu,1653.0,Red/Yellow Soil,high,Low,High,Low,2383.178932,556.3
Ragi,Kharif     ,Tamil Nadu,52250.0,Red/Yellow Soil,high,High,High,Medium,2906.741602,561.9
Ragi,Rabi       ,Tamil Nadu,9112.0,Alluvial Soil,low,Low,Low,High,2489.51755,537.0
Rice,Kharif     ,Tamil Nadu,1442841.0,Alluvial Soil,low,Average,Low,High,2227.802032,694.1
Sugarcane,Whole Year ,Tamil Nadu,218262.0,Black Soil,low,Low,Low,High,2667.608585,653.8
Banana,Whole Year ,Andhra Pradesh,55130.0,Black Soil,low,High,High,Medium,2378.608444,617.2
Cotton(lint),Kharif     ,Andhra Pradesh,643942.0,Black Soil,high,High,High,High,2132.683818,673.0
Cotton(lint),Rabi       ,Andhra Pradesh,2097.0,Black Soil,low,Low,Medium,Medium,2232.168008,484.9
Groundnut,Kharif     ,Andhra Pradesh,647930.0,Alluvial Soil,low,Low,Medium,High,3020.212586,722.9
Groundnut,Rabi       ,Andhra Pradesh,86664.0,Alluvial Soil,high,High,High,High,2615.262766,627.9
Onion,Kharif     ,Andhra Pradesh,17336.0,Alluvial Soil,high,Low,High,Low,2532.328017,511.0
Onion,Rabi       ,Andhra Pradesh,7382.0,Alluvial Soil,low,High,Low,Low,2425.031879,521.8
Potato,Kharif     ,Andhra Pradesh,457.0,Alluvial Soil,high,High,Medium,High,2587.644653,710.9
Potato,Rabi       ,Andhra Pradesh,994.0,Alluvial Soil,high,High,Low,Low,2584.070784,381.9
Ragi,Kharif     ,Andhra Pradesh,26640.0,Black Soil,high,Average,Medium,High,2587.650648,707.7
Ragi,Rabi       ,Andhra Pradesh,7810.0,Black Soil,low,High,Low,High,2534.453527,839.9
Rice,Kharif     ,Andhra Pradesh,1476928.0,Black Soil,high,Average,Medium,Low,2760.639501,388.3
Rice,Rabi       ,Andhra Pradesh,741258.0,Black Soil,high,High,High,High,2506.931304,477.2
Sugarcane,Whole Year ,Andhra Pradesh,98912.0,Red/Yellow Soil,low,High,Medium,Low,2206.618349,538.2
Wheat,Kharif     ,Andhra Pradesh,11.0,Red/Yellow Soil,high,High,Low,Medium,2316.273133,636.8
Wheat,Rabi       ,Andhra Pradesh,38.0,Red/Yellow Soil,high,Average,High,High,1906.294392,440.8
Banana,Kharif     ,Puducherry,249.0,Alluvial Soil,high,Average,Medium,Low,3108.045135,527.2
Cotton(lint),Kharif     ,Puducherry,154.0,Alluvial Soil,low,High,Low,Medium,2758.826378,384.9
Groundnut,Kharif     ,Puducherry,2.0,Alluvial Soil,low,Average,High,Medium,2250.978851,622.1
Groundnut,Rabi       ,Puducherry,246.0,Alluvial Soil,low,Average,Medium,Low,2415.446545,726.7
Groundnut,Summer     ,Puducherry,26.0,Alluvial Soil,low,Low,Low,Low,2308.937058,740.1
Onion,Kharif     ,Puducherry,2.0,Alluvial Soil,low,High,Low,Low,2962.764163,651.1
Onion,Summer     ,Puducherry,1.0,Black Soil,low,High,High,High,2074.036851,341.5
Ragi,Kharif     ,Puducherry,19.0,Black Soil,low,Average,Medium,Low,2534.342818,513.2
Ragi,Rabi       ,Puducherry,3.0,Black Soil,low,Low,Low,Low,2467.441647,493.4
Ragi,Summer     ,Puducherry,23.0,Black Soil,low,Low,Medium,Low,2748.051589,506.6
Rice,Kharif     ,Puducherry,4325.0,Black Soil,low,Low,High,High,2468.797232,744.5
Rice,Rabi       ,Puducherry,8749.0,Red/Yellow Soil,high,Average,Low,Low,1972.537337,479.2
Rice,Summer     ,Puducherry,4297.0,Alluvial Soil,low,High,Low,Medium,2424.66465,572.4
Sugarcane,Kharif     ,Puducherry,1445.0,Alluvial Soil,high,Average,Low,High,2208.351335,450.9
Banana,Whole Year ,Assam,53082.0,Alluvial Soil,low,High,Low,Low,2523.873864,318.6
Cotton(lint),Kharif     ,Assam,771.0,Black Soil,low,High,High,Low,2930.253111,845.0
Onion,Whole Year ,Assam,8338.0,Black Soil,high,High,High,High,1978.172427,416.5
Potato,Whole Year ,Assam,102868.0,Black Soil,low,Low,Low,High,2259.933179,703.1
Rice,Autumn     ,Assam,154511.0,Black Soil,high,Low,High,Low,2334.192114,393.9
Rice,Summer     ,Assam,400402.0,Black Soil,low,Average,Low,High,2385.510671,429.7
Rice,Winter     ,Assam,1878798.0,Black Soil,low,Average,Medium,Low,2722.037699,523.8
Sugarcane,Whole Year ,Assam,30559.0,Red/Yellow Soil,low,Average,Medium,Low,2447.936675,564.4
